Date,ConfirmedCases
2020-03-01,11
2020-03-02,18
2020-03-03,27
2020-03-04,39
2020-03-05,70
2020-03-06,78
2020-03-07,102
2020-03-08,122
2020-03-09,122
2020-03-10,167
2020-03-11,282
2020-03-12,442
2020-03-13,568
2020-03-14,642
2020-03-15,603
2020-03-16,779
2020-03-17,955
2020-03-18,1022
2020-03-19,1374
2020-03-20,1524
2020-03-21,1793
2020-03-22,1997
2020-03-23,2221
2020-03-24,2328
2020-03-25,2591
2020-03-26,3207
2020-03-27,3477
2020-03-28,4030
2020-03-29,4465
2020-03-30,4923
2020-03-31,5432
2020-04-01,5608
2020-04-02,6389
2020-04-03,6846
2020-04-04,7247
2020-04-05,7825
2020-04-06,8311
2020-04-07,8692
2020-04-08,9276
2020-04-09,9639
2020-04-10,10119
2020-04-11,10434
2020-04-12,10609
2020-04-13,10635
2020-04-14,10799
2020-04-15,10942
2020-04-16,11057
2020-04-17,11517
2020-04-18,11776
2020-04-19,11978
2020-04-20,12114
2020-04-21,12392
2020-04-22,12596
2020-04-23,12753
2020-04-24,12977
2020-04-25,13319
2020-04-26,13521
2020-04-27,13686
2020-04-28,13842
2020-04-29,14070
2020-04-30,14327
2020-05-01,14637
2020-05-02,15003
2020-05-03,15185
2020-05-04,15462
2020-05-05,15594
2020-05-06,15905
2020-05-07,16231
2020-05-08,16388
2020-05-09,16674
2020-05-10,16891
2020-05-11,17122
2020-05-12,17330
2020-05-13,17512
2020-05-14,17773
2020-05-15,17951
2020-05-16,18288
2020-05-17,18433
2020-05-18,18611
2020-05-19,18811
2020-05-20,18971
2020-05-21,19117
2020-05-22,19265
2020-05-23,19265
2020-05-24,19828
2020-05-25,20065
2020-05-26,20181
2020-05-27,20406
2020-05-28,20764
2020-05-29,21071
2020-05-30,21349
2020-05-31,21702
2020-06-01,22239
2020-06-02,22516
2020-06-03,22764
2020-06-04,23024
2020-06-05,23483
2020-06-06,23767
2020-06-07,24078
2020-06-08,24378
2020-06-09,24630
2020-06-10,24892
2020-06-11,25176
2020-06-12,25542
2020-06-13,25825
2020-06-14,26158
2020-06-15,26530
2020-06-16,26787
2020-06-17,27193
2020-06-18,27608
2020-06-19,28225
2020-06-20,28676
2020-06-21,28874
2020-06-22,29394
2020-06-23,29874
2020-06-24,30372
2020-06-25,30866
2020-06-26,31422
2020-06-27,31766
2020-06-28,32267
2020-06-29,32831
2020-06-30,33439
2020-07-01,34152
2020-07-02,34909
2020-07-03,35260
2020-07-04,35902
2020-07-05,36959
2020-07-06,37393
2020-07-07,37916
2020-07-08,38563
2020-07-09,39202
2020-07-10,39806
2020-07-11,40672
2020-07-12,41749
2020-07-13,42295
2020-07-14,43037
2020-07-15,44299
2020-07-16,45052
2020-07-17,46022
2020-07-18,46956
2020-07-19,47751
2020-07-20,48590
2020-07-21,49250
2020-07-22,49982
2020-07-23,50832
2020-07-24,51870
2020-07-25,52669
2020-07-26,53339
2020-07-27,54201
2020-07-28,54979
2020-07-29,55751
2020-07-30,56736
2020-07-31,57586
2020-08-01,58216
2020-08-02,58767
2020-08-03,59447
2020-08-04,60132
2020-08-05,60963
2020-08-06,61686
2020-08-07,62583
2020-08-08,63189
2020-08-09,63769
2020-08-10,64260
2020-08-11,64800
2020-08-12,65439
2020-08-13,66254
2020-08-14,66989
2020-08-15,67581
2020-08-16,67854
2020-08-17,68386
2020-08-18,68922
2020-08-19,69662
2020-08-20,70180
2020-08-21,71007
2020-08-22,71471
2020-08-23,71814
2020-08-24,72161
2020-08-25,72634
2020-08-26,73217
2020-08-27,73801
2020-08-28,74420
2020-08-29,74885
2020-08-30,75195
2020-08-31,75502
2020-09-01,75977
2020-09-02,76537
2020-09-03,77034
2020-09-04,77559
2020-09-05,77979
2020-09-06,78295
2020-09-07,78492
2020-09-08,78781
2020-09-09,79280
2020-09-10,79880
2020-09-11,80374
2020-09-12,80738
2020-09-13,81056
2020-09-14,81392
2020-09-15,81776
2020-09-16,82193
2020-09-17,82610
2020-09-18,83239
2020-09-19,83622
2020-09-20,83925
2020-09-21,84270
2020-09-22,84814
2020-09-23,85397
2020-09-24,86422
2020-09-25,87062
2020-09-26,87519
2020-09-27,87897
2020-09-28,88291
2020-09-29,88823
2020-09-30,89463
2020-10-01,90179
2020-10-02,90821
2020-10-03,91290
2020-10-04,91709
2020-10-05,92136
2020-10-06,92692
2020-10-07,93450
2020-10-08,94143
2020-10-09,94691
2020-10-10,95539
2020-10-11,95914
2020-10-12,96521
2020-10-13,97240
2020-10-14,97938
2020-10-15,98713
2020-10-16,99539
2020-10-17,100105
2020-10-18,100572
2020-10-19,101064
2020-10-20,101864
2020-10-21,102567
2020-10-22,103379
2020-10-23,104328
2020-10-24,105069
2020-10-25,105665
2020-10-26,106212
2020-10-27,106963
2020-10-28,107843
2020-10-29,108954
2020-10-30,109932
2020-10-31,110808
2020-11-01,111848
2020-11-02,112593
2020-11-03,114127
2020-11-04,115251
2020-11-05,117023
2020-11-06,118771
2020-11-07,120221
2020-11-08,121467
2020-11-09,122887
2020-11-10,124549
2020-11-11,126574
2020-11-12,128821
2020-11-13,131141
2020-11-14,133391
2020-11-15,134969
2020-11-16,137561
2020-11-17,139120
2020-11-18,141231
2020-11-19,143405
2020-11-20,145281
2020-11-21,147929
2020-11-22,151488
2020-11-23,154770
2020-11-24,157790
2020-11-25,160663
2020-11-26,162730
2020-11-27,165124
2020-11-28,167231
2020-11-29,169500
2020-11-30,171962
2020-12-01,175033
2020-12-02,177358
2020-12-03,179443
2020-12-04,181329
2020-12-05,183081
2020-12-06,189152
2020-12-07,192947
2020-12-08,196032
2020-12-09,199028
2020-12-10,202177
2020-12-11,206288
2020-12-12,208717
2020-12-13,210809
2020-12-14,212584
2020-12-15,214265
2020-12-16,214265
2020-12-17,217205
2020-12-18,220268
2020-12-19,222600
2020-12-20,222600
2020-12-21,226635
2020-12-22,227887
2020-12-23,230202
2020-12-24,233093
2020-12-25,233093
2020-12-26,236719
2020-12-27,236719
2020-12-28,238672
2020-12-29,240846
2020-12-30,242330
2020-12-31,246752
2021-01-01,246752
2021-01-02,246752
2021-01-03,255396
2021-01-04,256435
2021-01-05,258767
2021-01-06,260752
2021-01-07,264012
2021-01-08,268607
2021-01-09,271595
2021-01-10,271595
2021-01-11,276686
2021-01-12,278544
2021-01-13,281202
2021-01-14,283777
2021-01-15,285970
2021-01-16,285970
2021-01-17,289939
2021-01-18,289939
2021-01-19,291989
2021-01-20,294017
2021-01-21,296087
2021-01-22,298249
2021-01-23,300198
2021-01-24,300198
2021-01-25,302141
2021-01-26,303482
2021-01-27,305289
2021-01-28,307809
2021-01-29,309801
2021-01-30,311597
2021-01-31,311597
2021-02-01,313335
2021-02-02,314692
2021-02-03,316294
2021-02-04,317878
2021-02-05,319371
2021-02-06,320146
2021-02-07,320146
2021-02-08,323214
2021-02-09,324025
2021-02-10,324706
2021-02-11,326159
2021-02-12,327167
2021-02-13,328047
2021-02-14,328047
2021-02-15,328047
2021-02-16,329746
2021-02-17,330807
2021-02-18,332007
2021-02-19,332904
2021-02-20,333794
2021-02-21,333794
2021-02-22,334962
2021-02-23,335693
2021-02-24,336565
2021-02-25,337653
2021-02-26,338822
2021-02-27,339773
2021-02-28,339773
2021-03-01,340708
2021-03-02,341441
2021-03-03,342236
2021-03-04,343090
2021-03-05,343868
2021-03-06,344532
2021-03-07,344532
2021-03-08,345731
2021-03-09,346403
2021-03-10,347131
2021-03-11,347884
2021-03-12,348516
2021-03-13,349425
2021-03-14,349425
2021-03-15,350506
2021-03-16,351109
2021-03-17,352012
2021-03-18,352907
2021-03-19,353792
2021-03-20,354782
2021-03-21,354782
2021-03-22,355986
2021-03-23,356536
2021-03-24,357499
2021-03-25,358606
2021-03-26,359666
2021-03-27,361115
2021-03-28,361115
2021-03-29,362385
2021-03-30,363235
2021-03-31,364486
2021-04-01,365762
2021-04-02,367115
2021-04-03,368403
2021-04-04,368403
2021-04-05,370017
2021-04-06,370652
2021-04-07,372170
2021-04-08,373212
2021-04-09,374794
2021-04-10,376230
2021-04-11,376230
2021-04-12,377952
2021-04-13,379056
2021-04-14,380339
2021-04-15,381725
2021-04-16,383894
2021-04-17,385549
2021-04-18,385549
2021-04-19,386920
2021-04-20,388718
2021-04-21,390214
2021-04-22,391839
2021-04-23,393594
2021-04-24,395312
2021-04-25,395312
2021-04-26,397417
2021-04-27,398509
2021-04-28,400149
2021-04-29,401718
2021-04-30,403040
2021-05-01,404709
2021-05-02,404709
2021-05-03,407191
2021-05-04,408607
2021-05-05,409933
2021-05-06,411075
2021-05-07,412483
2021-05-08,413980
2021-05-09,413980
2021-05-10,415705
2021-05-11,416930
2021-05-12,418020
2021-05-13,419382
2021-05-14,421757
2021-05-15,422665
2021-05-16,422665
2021-05-17,423382
2021-05-18,424050
2021-05-19,424903
2021-05-20,425848
2021-05-21,427494
2021-05-22,427494
2021-05-23,427494
2021-05-24,429499
2021-05-25,430415
2021-05-26,432170
2021-05-27,433701
2021-05-28,434783
2021-05-29,435849
2021-05-30,435849
2021-05-31,435849
2021-06-01,436984
2021-06-02,437677
2021-06-03,438544
2021-06-04,439263
2021-06-05,440057
2021-06-06,440057
2021-06-07,440889
2021-06-08,441591
2021-06-09,442098
2021-06-10,442815
2021-06-11,443454
2021-06-12,444166
2021-06-13,444166
2021-06-14,444722
2021-06-15,445155
2021-06-16,445686
2021-06-17,446124
2021-06-18,446682
2021-06-19,447203
2021-06-20,447203
2021-06-21,447724
2021-06-22,448142
2021-06-23,448945
2021-06-24,449491
2021-06-25,449983
2021-06-26,450404
2021-06-27,450404
2021-06-28,450930
2021-06-29,451248
2021-06-30,451595
2021-07-01,452072
2021-07-02,452483
2021-07-03,452483
2021-07-04,452483
2021-07-05,452483
2021-07-06,453665
2021-07-07,454068
2021-07-08,454650
2021-07-09,455103
2021-07-10,455103
2021-07-11,455103
2021-07-12,456709
2021-07-13,457814
2021-07-14,458517
2021-07-15,459306
2021-07-16,460067
2021-07-17,460067
2021-07-18,460067
2021-07-19,461847
2021-07-20,462577
2021-07-21,463537
2021-07-22,466099
2021-07-23,466099
2021-07-24,466235
2021-07-25,466235
2021-07-26,469308
2021-07-27,470333
2021-07-28,471489
2021-07-29,472362
2021-07-30,473076
2021-07-31,473076
2021-08-01,473076
2021-08-02,475881
2021-08-03,481357
2021-08-04,483389
2021-08-05,486303
2021-08-06,488640
2021-08-07,488640
2021-08-08,488640
2021-08-09,495338
2021-08-10,495357
2021-08-11,500434
2021-08-12,504132
2021-08-13,507294
2021-08-14,507294
2021-08-15,507294
2021-08-16,514884
2021-08-17,517214
2021-08-18,520733
2021-08-19,524670
2021-08-20,528453
2021-08-21,528453
2021-08-22,528453
2021-08-23,536814
2021-08-24,539887
2021-08-25,542878
2021-08-26,546721
2021-08-27,550988
2021-08-28,550988
2021-08-29,550988
2021-08-30,559762
2021-08-31,563041
2021-09-01,567104
2021-09-02,571468
2021-09-03,575490
2021-09-04,575490
2021-09-05,575490
2021-09-06,575490
2021-09-07,586694
2021-09-08,590281
2021-09-09,594344
2021-09-10,597732
2021-09-11,597732
2021-09-12,597732
2021-09-13,607160
2021-09-14,609911
2021-09-15,613670
2021-09-16,616871
2021-09-17,620752
2021-09-18,620752
2021-09-19,620752
2021-09-20,628488
2021-09-21,631023
2021-09-22,633278
2021-09-23,637367
2021-09-24,640496
2021-09-25,640496
2021-09-26,640496
2021-09-27,649284
2021-09-28,652011
2021-09-29,654710
2021-09-30,657626
2021-10-01,660910
2021-10-02,660910
2021-10-03,660910
2021-10-04,667834
2021-10-05,670207
2021-10-06,672782
2021-10-07,675695
2021-10-08,677995
2021-10-09,677995
2021-10-10,677995
2021-10-11,684532
2021-10-12,686417
2021-10-13,689484
2021-10-14,692337
2021-10-15,695016
2021-10-16,695016
2021-10-17,695016
2021-10-18,695016
2021-10-19,702425
2021-10-20,704878
2021-10-21,708032
2021-10-22,710511
2021-10-23,710511
2021-10-24,710511
2021-10-25,716315
2021-10-26,717924
2021-10-27,719500
2021-10-28,722839
2021-10-29,725435
2021-10-30,725435
2021-10-31,725435
2021-11-01,730108
2021-11-02,731894
2021-11-03,733535
2021-11-04,735881
2021-11-05,737698
2021-11-06,737698
2021-11-07,737698
2021-11-08,742919
2021-11-09,744364
2021-11-10,746354
2021-11-11,746354
2021-11-12,750477
2021-11-13,750477
2021-11-14,750477
2021-11-15,755011
2021-11-16,756310
2021-11-17,758483
2021-11-18,760482
2021-11-19,762118
2021-11-20,762118
2021-11-21,762118
2021-11-22,766008
2021-11-23,767045
2021-11-24,768151
2021-11-25,768151
2021-11-26,768151
2021-11-27,768151
2021-11-28,768151
2021-11-29,773069
2021-11-30,774465
2021-12-01,774465
2021-12-02,778916
2021-12-03,780835
2021-12-04,780835
2021-12-05,780835
2021-12-06,784129
2021-12-07,786042
2021-12-08,787245
2021-12-09,788877
2021-12-10,790412
2021-12-11,790412
2021-12-12,790412
2021-12-13,793757
2021-12-14,794878
2021-12-15,796369
2021-12-16,798239
2021-12-17,800329
2021-12-18,800329
2021-12-19,800329
2021-12-20,805831
2021-12-21,807529
2021-12-22,809600
2021-12-23,813741
2021-12-24,813741
2021-12-25,813741
2021-12-26,813741
2021-12-27,834235
2021-12-28,837378
2021-12-29,842196
2021-12-30,849075
2021-12-31,849075
2022-01-01,849075
2022-01-02,849075
2022-01-03,882144
2022-01-04,888336
2022-01-05,899036
2022-01-06,913980
2022-01-07,931071
2022-01-08,931071
2022-01-09,931071
2022-01-10,978680
2022-01-11,991838
2022-01-12,1009187
2022-01-13,1025322
2022-01-14,1041456
2022-01-15,1041456
2022-01-16,1041456
2022-01-17,1041456
2022-01-18,1105622
2022-01-19,1119228
2022-01-20,1135778
2022-01-21,1152026
2022-01-22,1151835
2022-01-23,1151835
2022-01-24,1203311
2022-01-25,1203311
2022-01-26,1257918
2022-01-27,1257918
2022-01-28,1294497
2022-01-29,1294497
2022-01-30,1294497
2022-01-31,1339737
2022-02-01,1339737
2022-02-02,1355428
2022-02-03,1355428
2022-02-04,1367763
2022-02-05,1367763
2022-02-06,1367763
2022-02-07,1382782
2022-02-08,1382782
2022-02-09,1391026
2022-02-10,1391026
2022-02-11,1410596
2022-02-12,1410596
2022-02-13,1410596
2022-02-14,1410658
2022-02-15,1410658
2022-02-16,1410611
2022-02-17,1410499
2022-02-18,1410499
2022-02-19,1409253
2022-02-20,1409253
2022-02-21,1409253
2022-02-22,1409253
2022-02-23,1414429
2022-02-24,1414222
2022-02-25,1417498
2022-02-26,1417498
2022-02-27,1417498
2022-02-28,1423990
2022-03-01,1423990
2022-03-02,1427013
2022-03-03,1427013
2022-03-04,1430235
2022-03-05,1430235
2022-03-06,1430235
2022-03-07,1432321
2022-03-08,1432321
2022-03-09,1434783
2022-03-10,1434783
2022-03-11,1437914
2022-03-12,1437914
2022-03-13,1437914
2022-03-14,1440632
2022-03-15,1440632
2022-03-16,1440633
2022-03-17,1442947
2022-03-18,1445223
2022-03-19,1445223
2022-03-20,1445223
2022-03-21,1446845
2022-03-22,1446845
2022-03-23,1448779
2022-03-24,1448779
2022-03-25,1451227
2022-03-26,1451227
2022-03-27,1451227
2022-03-28,1453251
2022-03-29,1453251
2022-03-30,1454772
2022-03-31,1454772
2022-04-01,1456264
2022-04-02,1456264
2022-04-03,1456264
2022-04-04,1458424
2022-04-05,1458424
2022-04-06,1464398
2022-04-07,1464398
2022-04-08,1467059
2022-04-09,1467059
2022-04-10,1467059
2022-04-11,1467059
2022-04-12,1467059
2022-04-13,1471754
2022-04-14,1471754
2022-04-15,1474548
2022-04-16,1474548
2022-04-17,1474548
2022-04-18,1477863
2022-04-19,1477863
2022-04-20,1479559
2022-04-21,1479559
2022-04-22,1483332
2022-04-23,1483332
2022-04-24,1483332
2022-04-25,1483332
2022-04-26,1489316
2022-04-27,1493194
2022-04-28,1493194
2022-04-29,1498116
2022-04-30,1498116
2022-05-01,1498116
2022-05-02,1510285
2022-05-03,1510285
2022-05-04,1508065
2022-05-05,1508065
2022-05-06,1508065
2022-05-07,1508065
2022-05-08,1508065
2022-05-09,1519327
2022-05-10,1519327
2022-05-11,1524078
2022-05-12,1524078
2022-05-13,1530430
2022-05-14,1530430
2022-05-15,1530430
2022-05-16,1538228
2022-05-17,1538228
2022-05-18,1544119
2022-05-19,1544119
2022-05-20,1552956
2022-05-21,1552956
2022-05-22,1552956
2022-05-23,1559662
2022-05-24,1559662
2022-05-25,1565696
2022-05-26,1565696
2022-05-27,1573651
2022-05-28,1573651
2022-05-29,1573651
2022-05-30,1573651
2022-05-31,1573651
2022-06-01,1583206
2022-06-02,1583206
2022-06-03,1591654
2022-06-04,1591654
2022-06-05,1591654
2022-06-06,1600084
2022-06-07,1600084
2022-06-08,1600084
2022-06-09,1600084
2022-06-10,1610793
2022-06-11,1610793
2022-06-12,1610793
2022-06-13,1617208
2022-06-14,1617208
2022-06-15,1622214
2022-06-16,1622214
2022-06-17,1628383
2022-06-18,1628383
2022-06-19,1628383
2022-06-20,1628383
2022-06-21,1628383
2022-06-22,1640182
2022-06-23,1640182
2022-06-24,1646657
2022-06-25,1646657
2022-06-26,1646657
2022-06-27,1654445
2022-06-28,1654445
2022-06-29,1659152
2022-06-30,1659152
2022-07-01,1666301
2022-07-02,1666301
2022-07-03,1666301
2022-07-04,1666301
2022-07-05,1666301
2022-07-06,1677766
2022-07-07,1677766
2022-07-08,1684668
2022-07-09,1684668
2022-07-10,1684668
2022-07-11,1692004
2022-07-12,1692004
2022-07-13,1695915
2022-07-14,1695909
2022-07-15,1695915
2022-07-16,1695915
2022-07-17,1701692
2022-07-18,1709178
2022-07-19,1709156
2022-07-20,1713842
2022-07-21,1713842
2022-07-22,1719776
2022-07-23,1719776
2022-07-24,1719776
2022-07-25,1726045
2022-07-26,1726045
2022-07-27,1729949
2022-07-28,1729949
2022-07-29,1729949
2022-07-30,1729949
2022-07-31,1729949
2022-08-01,1740938
2022-08-02,1740938
2022-08-03,1744292
2022-08-04,1744292
2022-08-05,1748594
2022-08-06,1748594
2022-08-07,1748594
2022-08-08,1748594
2022-08-09,1748594
2022-08-10,1756800
2022-08-11,1756800
2022-08-12,1760576
2022-08-13,1760576
2022-08-14,1760576
2022-08-15,1764619
2022-08-16,1764619
2022-08-17,1767263
2022-08-18,1767263
2022-08-19,1770649
2022-08-20,1770649
2022-08-21,1770649
2022-08-22,1773927
2022-08-23,1773927
2022-08-24,1776370
2022-08-25,1776370
2022-08-26,1778421
2022-08-27,1778421
2022-08-28,1778421
2022-08-29,1782970
2022-08-30,1782970
2022-08-31,1784728
2022-09-01,1784728
2022-09-02,1787212
2022-09-03,1787212
2022-09-04,1787212
2022-09-05,1787212
2022-09-06,1787212
2022-09-07,1791053
2022-09-08,1791053
2022-09-09,1793565
2022-09-10,1793565
2022-09-11,1793565
2022-09-12,1796023
2022-09-13,1796023
2022-09-14,1796023
2022-09-15,1796023
2022-09-16,1800799
2022-09-17,1800799
2022-09-18,1800799
2022-09-19,1803633
2022-09-20,1803633
2022-09-21,1805781
2022-09-22,1805781
2022-09-23,1808301
2022-09-24,1808301
2022-09-25,1808301
2022-09-26,1811170
2022-09-27,1811170
2022-09-28,1813501
2022-09-29,1813501
2022-09-30,1816183
2022-10-01,1816183
2022-10-02,1816183
2022-10-03,1818645
2022-10-04,1818714
2022-10-05,1820468
2022-10-06,1820468
2022-10-07,1822544
2022-10-08,1822544
2022-10-09,1822544
2022-10-10,1824499
2022-10-11,1824499
2022-10-12,1825852
2022-10-13,1825852
2022-10-14,1827631
2022-10-15,1827631
2022-10-16,1827631
2022-10-17,1828918
2022-10-18,1828918
2022-10-19,1830508
2022-10-20,1830508
2022-10-21,1832457
2022-10-22,1832457
2022-10-23,1832457
2022-10-24,1833759
2022-10-25,1833759
2022-10-26,1835075
2022-10-27,1835075
2022-10-28,1835075
2022-10-29,1835075
2022-10-30,1835075
2022-10-31,1838206
2022-11-01,1838206
2022-11-02,1839317
2022-11-03,1839317
2022-11-04,1839317
2022-11-05,1839317
2022-11-06,1839317
2022-11-07,1839317
2022-11-08,1839317
2022-11-09,1843908
2022-11-10,1843908
2022-11-11,1843908
2022-11-12,1843908
2022-11-13,1843908
2022-11-14,1843908
2022-11-15,1843908
2022-11-16,1848731
2022-11-17,1848731
2022-11-18,1848731
2022-11-19,1848731
2022-11-20,1848731
2022-11-21,1848731
2022-11-22,1848731
2022-11-23,1853991
2022-11-24,1854190
2022-11-25,1854190
2022-11-26,1854190
2022-11-27,1854190
2022-11-28,1854190
2022-11-29,1854190
2022-11-30,1857649
2022-12-01,1859858
2022-12-02,1859858
2022-12-03,1859858
2022-12-04,1859858
2022-12-05,1859858
2022-12-06,1859858
2022-12-07,1866343
2022-12-08,1866343
2022-12-09,1866343
2022-12-10,1866343
2022-12-11,1866343
2022-12-12,1866343
2022-12-13,1866343
2022-12-14,1872837
2022-12-15,1872837
2022-12-16,1872837
2022-12-17,1872837
2022-12-18,1872837
2022-12-19,1872837
2022-12-20,1872837
2022-12-21,1879139
2022-12-22,1879139
2022-12-23,1879139
2022-12-24,1879139
2022-12-25,1879139
2022-12-26,1879139
2022-12-27,1879139
2022-12-28,1883676
2022-12-29,1883676
2022-12-30,1883676
2022-12-31,1883676
2023-01-01,1883676
2023-01-02,1883676
2023-01-03,1883676
2023-01-04,1889201
2023-01-05,1889201
2023-01-06,1889201
2023-01-07,1889201
2023-01-08,1889201
2023-01-09,1889201
2023-01-10,1889201
2023-01-11,1894796
2023-01-12,1894796
2023-01-13,1894796
2023-01-14,1894796
2023-01-15,1894796
2023-01-16,1894796
2023-01-17,1894796
2023-01-18,1899401
2023-01-19,1899401
2023-01-20,1899401
2023-01-21,1899401
2023-01-22,1899401
2023-01-23,1899401
2023-01-24,1899401
2023-01-25,1904198
2023-01-26,1904183
2023-01-27,1904198
2023-01-28,1904198
2023-01-29,1904198
2023-01-30,1904198
2023-01-31,1904198
2023-02-01,1904198
2023-02-02,1909773
2023-02-03,1909773
2023-02-04,1909773
2023-02-05,1909773
2023-02-06,1909773
2023-02-07,1909773
2023-02-08,1915281
2023-02-09,1915286
2023-02-10,1915286
2023-02-11,1915286
2023-02-12,1915286
2023-02-13,1915286
2023-02-14,1915286
2023-02-15,1920195
2023-02-16,1920195
2023-02-17,1920195
2023-02-18,1920195
2023-02-19,1920195
2023-02-20,1920195
2023-02-21,1920195
2023-02-22,1924418
2023-02-23,1924418
2023-02-24,1924418
2023-02-25,1924418
2023-02-26,1924418
2023-02-27,1924418
2023-02-28,1924418
2023-03-01,1928913
2023-03-02,1928913
2023-03-03,1928913
2023-03-04,1928913
2023-03-05,1928913
2023-03-06,1928913
2023-03-07,1928913
2023-03-08,1928913
2023-03-09,1928913
